LANGCODE	DET	PROPN	ADJ	PUNCT	NOUN	NUM	X	VERB	ADV	AUX	PRON	PART	CCONJ	ADP	SYM	INTJ	SCONJ
ru_syntagrus		21968	31015	86378	157984	215057	13746	392	97676	44102	6315	38439	27866	30432	81964	843	78	16219
ga_idt		1276	474	693	1408	3730	176	151	1099	285	224	496	866	486	2240	1	0	221
eu_bdt		2428	6004	3552	11934	17822	2793	105	11556	3096	7476	453	882	3735	1106	10	22	0
en_lines		4792	1669	3167	6087	9033	364	28	5983	2770	2613	4822	1286	1547	5021	3	93	818
de_gsd		33251	29871	19075	34466	46980	7008	322	17539	12356	10033	12637	1801	7981	28963	0	0	1521
sr_set		0	5644	7105	8183	15974	1729	0	5503	2114	4237	3726	291	2158	6743	0	0	2357
fro_srcmf		13677	4262	5223	0	20548	0	0	29510	16106	263	20338	0	8430	12940	0	106	4618
el_gdt		7559	1129	3196	4187	8953	586	686	4434	1911	344	1986	1713	1362	3538	1	0	741
pl_lfg		2551	3702	6937	20691	20350	663	0	17199	4411	3388	7341	4677	2591	8998	0	33	1218
ko_kaist		4286	10231	12088	33005	88966	3919	547	50362	41636	10821	6786	234	16488	1262	111	48	15656
kk_ktb		4	40	39	114	142	19	8	77	12	25	18	6	8	13	0	0	4
bxr_bdt		5	15	4	33	30	0	0	31	7	4	8	11	5	0	0	0	0
it_isdt		45039	13675	18296	31294	54977	4791	267	23394	10528	10877	10430	24	7549	41890	93	62	2833
da_ddt		4396	3940	5256	11105	14955	1200	382	8477	6730	3897	5422	956	2692	9413	54	76	1427
no_nynorsk		12041	11923	23733	27347	48991	3266	944	23831	7343	13094	18368	5399	9135	30703	81	198	8933
fr_gsd		54684	27092	20292	39381	66601	9458	598	28707	12764	11414	15925	276	9023	57151	477	77	2718
hsb_ufal		17	30	45	79	109	11	0	42	18	4	19	1	17	56	0	0	12
la_ittb		3635	3273	20887	37189	53994	1959	532	38852	19829	10794	25545	0	14447	24702	0	4	14761
sl_ssj		4232	3837	11912	14930	23957	1591	292	11629	5306	8076	4339	3292	4529	10522	0	15	4071
ko_gsd		393	354	1912	7298	22915	610	10	12989	7949	54	480	25	168	1289	238	3	0
tr_imst		639	1410	3814	6811	10365	1337	15	7192	1447	643	1392	0	1464	1496	0	57	0
fr_spoken		1567	550	693	59	2287	114	45	1842	998	557	2305	270	496	1968	0	929	272
id_gsd		3235	18221	3612	14568	21625	3555	36	9705	3803	856	3786	480	2913	9618	346	0	1172
pt_bosque		31741	17175	10325	27269	37905	3837	124	17554	8013	5724	6618	5	4800	33244	342	40	2023
got_proiel		1527	1185	3114	0	6618	247	9	7913	3276	58	3547	0	3204	3139	0	128	1059
nl_lassysmall		8063	10562	5395	11300	12304	2589	381	4994	2649	2086	2495	0	1970	9297	555	6	488
zh_gsd		1041	8679	2446	13595	27096	5352	1000	14991	4584	2142	1433	10460	1385	4379	25	0	0
no_nynorsklia		132	48	147	573	353	62	82	398	308	142	549	52	187	309	0	192	49
