LANGCODE	Mood	Aspect	PronType	Voice	VerbForm	Definite	NumForm	Polarity	NumValue	Gender	Case	Person	AdpType	Number	NumType	Reflex	Tense	Person[psor]	Polite	Number[psor]	Hyph	Connegative	Abbr	Poss	Degree	Animacy	Evident	PunctType	PunctSide	PrepCase	Typo	Variant	Number[psed]	NameType	Subcat	Distance	Style	Gender[psor]	Foreign	PartForm	InfForm	Clitic	Derivation	Position	Strength	AdvType	Echo	Orth	Animacy[gram]	Uninflect	Xtra	HebSource	VerbType	HebBinyan	Prefix	HebExistential	AdjType	Dialect	Form	PartType	NounType	Number[erg]	Person[dat]	Number[abs]	Gender[erg]	Number[dat]	Person[abs]	Polite[abs]	Polite[dat]	Polite[erg]	Gender[dat]	Person[erg]	Emphatic	Agglutination	SubGender	Clusivity
hy_armtdp		2.090901141158133	3.0623083689999318	4.949626730552226	2.7608530770081243	2.8268888875922427	1.970531053918423	1.9722859800819112	1.3300033055632776	0	0	3.5939800246398175	1.675260625142669	1.0	1.9006669499386453	1.6066307960863546	1.0	2.450760231149727	1.0	0	1.0	0	1.0	1.0	1.0	1.0	1.8416462791550157	0	0	0	0	1.0	0	0	3.444176621717137	2.0	2.5352692215104113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs_cac		1.339705635836617	1.8647487475043079	4.3372680225692495	1.3360660359551682	2.63522281056249	0	1.88932392992266	1.1051366916886596	1.033011299425931	3.4375042139747354	5.285942383574025	1.7366152791696403	1.3176330208491485	1.9952929546556624	1.5078254285693875	1.0	2.0302197623450646	0	0	1.9798193766239165	1.0	0	1.0	1.0	1.3062990770953429	1.656777326449609	0	0	0	1.6612799056547458	0	1.0	0	4.581438816715696	0	0	3.2645628293463433	2.915571343217147	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vi_vtb		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nl_alpino		0	0	2.3710840221153284	0	1.0	0	0	0	0	2.213169645449553	1.7620259059970436	2.077048772272357	0	1.3098946184833258	0	1.0	1.8869551754540796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
la_proiel		1.9656153760523412	1.7791741297411785	2.2547606270614606	1.6526056633976458	2.4098593296028685	0	0	0	0	3.167111093653794	4.510811419530786	2.539676215015839	0	1.8715660532850713	0	1.0	2.7136035237410328	0	0	0	0	0	0	1.0	1.5861519632733807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
en_ewt		1.2976731332714122	0	2.4310707736156703	1.0	1.7150474999938856	1.8695388167064217	0	0	0	2.6387300198380155	1.688312053248439	2.619312590219446	0	1.6038444469904949	1.0	1.0	1.9943822600358923	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fi_tdt		1.3881114897361444	0	4.351820905460256	1.493517004728223	2.403366633729745	0	0	1.0	0	0	6.855165718655931	2.08816307700175	1.3791480624505599	1.6509915396110932	1.872042844468316	1.0	1.9165175755744661	2.137921393801468	0	1.807811352393436	0	1.0	1.0	0	1.2720540515384662	0	0	0	0	0	1.0	0	0	0	0	0	1.0165105009293451	0	0	2.3333843392760154	2.453098085887888	5.265706621808678	8.04264630211249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sme_giella		1.4174883122935413	1.0	2.892772483017712	1.0	1.5384991315909713	0	0	1.0	0	0	4.727225612597517	2.3760135693189524	0	2.0254799587458785	1.0	1.0	1.84435053506636	2.6306018056943223	0	2.4171581897429677	0	1.0	0	0	1.997870200381349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ro_rrt		1.5311205389111713	0	3.7665825598105678	0	2.607655398730392	1.975185893180864	2.039411035314198	1.5149962653771878	0	1.9675260392572045	2.9111698340744825	1.4465494678892563	1.0	1.8429170631195047	1.4773194111377865	1.0	2.330836086175554	0	0	1.7828052841444348	0	0	1.0	1.0	1.0170830752386022	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.250718362278225	1.4944848426972754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ja_gsd		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs_fictree		1.6226779187513065	1.0647714941012814	3.4138067922479043	1.066802851088864	2.5940446976211917	0	1.2275415169898665	1.2050754902718588	1.0201560958626361	2.7554514782568624	5.438897967555257	2.6660828408150543	1.32431525619631	1.666216185183488	1.8704238730310994	1.0	2.111038882924656	0	0	1.717201377288929	1.0	0	1.0	1.0	1.3228927918129783	1.989331460747733	0	0	0	1.239051428388813	0	1.0	0	0	0	0	1.7826850706406572	2.0337322417892536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_snk		1.2158340982950684	2.1043418305884822	3.062284742779655	1.5702416335001474	2.3993608485086715	0	0	1.3126490008649503	0	2.8153578800567187	5.270300731675851	2.60809885560241	1.2916408659324001	1.64624560576805	2.534548845551429	1.0	2.0834093690431468	0	0	1.721632177609972	0	0	1.0	1.0	1.1991693010085605	1.9994298856582522	0	0	0	0	1.0	0	0	0	0	0	0	1.981190498697283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
es_ancora		1.4650619129870375	0	2.4001457947040477	0	1.6823852268201755	1.5299618577979506	1.0	0	0	1.9771127842058216	2.3661303091373607	1.3695822743033295	1.0	1.7721019345727447	2.1796495246524423	0	3.0008653145913837	0	1.0	1.9999165994829062	0	0	0	1.0	0	0	0	1.7017700326605572	1.9989442979954974	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sv_talbanken		1.140623100195253	0	4.24403587370131	1.4238151836534438	2.7591283513866696	1.963318449782467	0	1.0	0	1.88956922360056	1.240112076970826	0	0	1.841561032829502	1.0	0	1.623332364807039	0	0	0	0	0	1.0	1.0	1.5577751942131952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fi_ftb		1.5139199714072669	0	4.106633733856237	1.3554359300367917	2.1951007940498295	0	0	1.0	0	0	7.318891582563675	2.1235439758972774	0	1.6205607482901991	1.5345473655454505	1.0	1.9108545511077986	2.247496398808623	0	1.7445379796628684	0	1.0	1.0	0	1.9999983521221165	0	0	0	0	0	0	0	0	0	0	0	1.0146385077851	0	0	2.2558793660540246	2.2704216715694705	6.427722060704618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
it_postwita		1.7590749859511867	0	2.399926791751836	0	1.4850684204337812	1.4554474896569847	0	0	0	1.9226128091852306	0	2.534685132914684	0	1.7071035004960298	1.0	0	2.1015086898292847	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs_pdt		1.441785580150529	1.9740448654840612	4.285747678600073	1.261228440544911	2.7113622124578223	0	1.8826734415297284	1.1234558961793262	1.0245460940297617	3.3472375899065323	5.273260789422819	1.704856391405424	1.3097386387151448	1.9534315819140484	1.4809098675619854	1.0	2.2363894539716087	0	0	1.9992094944556995	1.0	0	1.0	1.0	1.3153116763025334	1.9223155338120577	0	0	0	1.642025704778209	0	1.0	0	4.981323253944644	0	0	4.096882429841157	2.8847851986762256	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
la_perseus		1.869405833997576	1.6860737125405516	0	1.7139933161797676	2.6529295710016543	0	0	0	0	2.896400455497907	4.557349092155263	2.1259667381151424	0	1.8419664155341504	0	0	2.7602682878706686	0	0	0	0	0	0	0	2.583194510644593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grc_perseus		1.8916009032624193	1.8202413199441585	0	2.063739396937815	2.39420811308133	0	0	0	0	2.686511332921267	3.9878810461290906	2.1394619836140474	0	1.9141763099859541	0	0	2.373908451851784	0	0	0	0	0	0	0	1.9987101203648567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
no_bokmaal		1.041749495148959	0	3.4898912394622466	1.0	1.250096016982933	1.867193807278844	0	1.0	0	2.678047521813866	2.345754792424042	2.146114887174836	0	1.809812689613392	1.0	1.0	1.7609380201134572	0	0	0	0	0	1.0	1.0	1.218097244743093	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sl_sst		1.3947819166118842	1.9815716237991745	3.8409041018159074	0	2.064885721861761	1.9984623269460533	1.0	1.3347283289958423	0	2.901022581912846	4.290021752748901	2.7276497284899124	0	1.9114735777026486	1.5698455005723249	0	1.303233771179658	0	0	1.939142722057363	0	0	0	1.0	1.219489854347011	1.3742893762671966	0	0	0	0	0	1.0637450578382852	0	0	0	0	0	1.9796263300525183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lv_lvtb		1.5825218928483835	1.2922839048988914	4.919591530277557	1.1790033786336716	2.384537957173325	1.7851086288581302	0	1.353788373200006	0	1.9993761986834513	4.530117714099988	1.9874807669845964	0	1.9922822912767981	1.8080795429113814	1.0	2.3672270457369957	0	0	0	0	0	0	1.0	1.2603061733483607	0	1.0630706171357125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hr_set		1.2701832896599146	0	4.268462507282264	1.4626912561772194	1.918889678223952	1.3842634066426123	0	1.0	0	2.7107248532369868	4.665046427130479	1.6569434218540826	0	1.7962252963123424	1.8490692171344	1.0	1.826825992814084	0	0	1.9999653980236498	0	0	0	1.0	1.321669782047867	1.4513802809932832	0	0	0	0	0	0	0	0	0	0	0	1.8853819934082574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grc_proiel		1.7937229072105907	1.583335258399944	2.4730905034557784	2.2765702602206095	2.4423727844688004	1.0	0	0	0	3.125058091824589	3.9654601874299567	2.384319876717413	0	1.8896885955984466	0	1.0	2.424666491763139	0	0	0	0	0	0	1.0	1.4015427718805475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ur_udtb		1.3471228272160312	1.571558555170231	2.429279903942821	1.4780286318719364	2.5740164869225026	0	0	1.0	0	1.6163702972934373	2.074015992460064	1.0434189828686586	1.0	1.450169118059538	1.966770848082682	0	2.2845184197781405	0	1.112037193482918	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uk_iu		1.1295891350672187	1.9504094832035606	4.085617796451077	1.2783093425352388	2.2770526249470247	0	0	1.0	0	2.8063245081026547	4.859745645623718	2.6285508164116003	0	1.9143898878677095	1.8942579020847075	1.0	2.3694363209122926	0	0	0	1.0	0	1.0	1.0	1.5552424975750891	1.7132244110998618	0	0	0	0	0	1.426726838059324	0	2.2267234925491337	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	1.7547653506033232	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ru_taiga		1.3136153743211927	1.9541799427809992	0	1.765749285667132	2.395371655078728	0	0	0	0	2.792300692661919	4.8666759875813845	2.8005986510546217	0	1.8361102382137373	0	0	2.472810562987789	0	0	0	0	0	0	0	1.0	1.6652974255252262	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gl_ctg		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gl_treegal		1.5013975575222487	0	3.096817094694676	0	1.4818959908301372	1.4594167822191577	0	1.0	0	2.303799066524295	2.6261423787050804	1.4540157840550436	1.0	1.7850732424938982	1.4666199958927555	0	2.569257612185158	0	0	1.9378192408783848	0	0	0	1.0	1.5691925832141966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fa_seraji		1.255050391256734	0	1.8686063474773624	0	1.5073312624684176	0	0	1.0	0	0	0	1.7425394424941327	0	1.7632669381420798	0	1.0	2.0626773962857285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hi_hdtb		1.1921609932189638	1.4883556704419467	2.4100518769051624	1.3727534514802993	2.7272641648557316	0	0	1.0	0	1.8361606557929147	2.4132516978070333	1.0527066064545538	1.0	1.5020379617819186	1.9750551889637857	0	2.304085061226336	0	1.015971575574607	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
he_htb		1.0	0	1.6573360566822601	1.95805443173721	1.8794548724527111	1.665072022102525	0	1.658166963860051	0	2.2442543766068153	1.2247976624803283	2.1425467361897033	0	1.8423925944506439	0	1.0	1.6138998903004635	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.59964003570096	1.7799374198044473	5.55863928365691	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fr_sequoia		1.3952860437385937	0	1.3367086492273996	1.0	1.978902727385653	1.6493848884661177	0	0	0	1.9874595289491506	0	1.8281446268462336	0	1.7894118483159875	1.8691641638195144	1.0	2.668374960982974	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu_proiel		1.3888123406551274	1.9646491051038804	1.8100812598040241	1.1533323214688336	2.1539710480467233	0	0	0	0	2.955788782237714	5.000065101123679	2.3342057224986044	0	1.9784773186957254	0	1.0	2.16847546834187	0	0	0	0	0	0	1.0	1.2319174594253015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.777096822406396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
af_afribooms		0	0	1.8341448590107607	0	1.7502075777542132	1.7011554874888661	0	0	0	0	1.5646745004532825	2.8527462222798476	0	1.9996481095336227	0	1.0	1.5777572323780487	0	0	0	0	0	0	1.0	1.1961828818935805	0	0	0	0	0	0	0	0	0	1.5873527982463942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6556447765623794	0	0	0	1.5535234374341338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ru_syntagrus		1.0666966414830035	1.9651184402667727	0	2.2236225809679313	2.638069331389322	0	0	0	0	2.886436310270324	5.037131397931667	1.907681216656424	0	1.8380524627866441	0	0	2.370949860818325	0	0	0	0	0	0	0	1.0290150998916068	1.5719890643044137	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ga_idt		1.645996720381704	0	2.27522281382685	1.0	2.0586210161280443	1.0183965285593428	0	1.0	0	1.9112006005020117	1.7801648056198072	1.8959764827877872	0	1.5501243701309708	1.8898815748423097	0	2.596742369751258	0	0	0	0	0	0	1.0	1.0981203695313506	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6147265507672617	2.141806019577346	1.4687412794363515	3.0910838744618134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eu_bdt		1.2703010986135528	3.4560566050610326	0	0	1.5735786967759153	1.5546024377807557	0	1.0	0	1.943573790935383	6.3379760727227445	2.6106906257834304	0	1.6815058992327594	1.0	0	0	0	1.0	0	0	0	0	0	2.137818181814673	1.3766361020297864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8899741656913949	1.7753879168392939	1.7152966668387666	2.0	1.7578652955112046	1.1823089225697303	1.0	1.0	1.0	1.0	1.6622251152578413	0	0	0	0
en_lines		1.1049272608222573	0	2.364971310024852	1.0	1.842765140840322	1.888230155962894	0	0	0	1.7836814400769845	1.7892277998728197	2.0490377684351033	0	1.4603621396603805	1.0	1.0	1.9653152642867722	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de_gsd		1.1471269013758312	0	2.652740247696749	1.0	1.1212403798488366	1.684129449097459	0	1.0	0	2.937046668964059	3.7557086620553646	1.241714925565973	0	1.6515310955896583	0	1.0	1.9999957333178047	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sr_set		1.0	0	2.8230779731744367	0	1.0	1.26102987360057	0	0	0	2.6368160005405548	4.506305656313623	1.2809794069245743	0	1.7348071080025167	2.2566219913456074	1.0	1.268113715391935	0	0	0	0	0	0	1.0	1.2246192661134745	1.425899039119056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fro_srcmf		0	0	1.118069640926812	0	1.0	1.390733751323657	0	1.0	0	0	0	0	0	0	0	0	1.3316596683985298	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
el_gdt		1.016051072372663	1.9791812213118036	2.399657029721708	1.8807481678762328	1.367861003702484	1.2082316660654189	0	0	0	2.7755834883131856	2.994119601983944	1.7146569867239085	0	1.8718553360879235	2.2533421395306634	0	1.9167790762226546	0	0	0	0	0	0	1.0	1.4712902750644046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
